[2025-06-21 23:40:04] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'features': ['CHANNEL_ICON_EMOJIS_GENERATED'], 'home_header': None, 'afk_channel_id': None, 'profile': None, 'emojis': [], 'channels': [{'version': 1698573634011, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text channels', 'id': '1167851339066380359', 'flags': 0}, {'version': 1698573634023, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice channels', 'id': '1167851339066380360', 'flags': 0}, {'version': 1698507856967, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1167851339066380359', 'name': 'general', 'last_message_id': '1386113369068535939', 'id': '1167851339066380361', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1698507856981, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1167851339066380360', 'name': 'General', 'last_message_id': None, 'id': '1167851339066380362', 'icon_emoji': {'name': '🎙️', 'id': None}, 'flags': 0, 'bitrate': 64000}], 'mfa_level': 0, 'owner_id': '874047746854752286', 'stage_instances': [], 'large': False, 'hub_type': None, 'moderator_reporting': None, 'icon': None, 'banner': None, 'id': '1167851339066380358', 'name': "LucasTheBaguetteThief's server", 'stickers': [], 'explicit_content_filter': 0, 'max_stage_video_channel_users': 50, 'premium_progress_bar_enabled': False, 'unavailable': False, 'threads': [], 'nsfw': False, 'system_channel_flags': 0, 'max_video_channel_users': 25, 'application_id': None, 'inventory_settings': None, 'rules_channel_id': None, 'discovery_splash': None, 'voice_states': [], 'description': None, 'nsfw_level': 0, 'region': 'deprecated', 'verification_level': 0, 'presences': [], 'lazy': True, 'activity_instances': [], 'max_members': 500000, 'public_updates_channel_id': None, 'joined_at': '2025-06-21T21:39:43.946737+00:00', 'guild_scheduled_events': [], 'safety_alerts_channel_id': None, 'application_command_counts': {}, 'embedded_activities': [], 'latest_onboarding_question_id': None, 'roles': [{'version': 1698507856936, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1167851339066380358', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1750541983903, 'unicode_emoji': None, 'tags': {'bot_id': '1386002700138975292'}, 'position': 1, 'permissions': '563362270783552', 'name': 'disctweet', 'mentionable': False, 'managed': True, 'id': '1386098286175326250', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'members': [{'user': {'username': 'disctweet', 'public_flags': 0, 'primary_guild': None, 'id': '1386002700138975292', 'global_name': None, 'display_name': None, 'discriminator': '0456', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1386098286175326250'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-21T21:39:43.946737+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'afk_timeout': 300, 'soundboard_sounds': [], 'system_channel_id': '1167851339066380361', 'default_message_notifications': 0, 'premium_tier': 0, 'preferred_locale': 'en-US', 'premium_subscription_count': 0, 'splash': None, 'premium_features': None, 'member_count': 2, 'incidents_data': None, 'version': 1750541998644, 'vanity_url_code': None}}
[2025-06-21 23:40:04] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-21 23:40:04] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': 'a7b32cad32ef18fc1a4100b137b7172e', 'members': [{'user': {'username': 'lucasthebaguettetheif', 'public_flags': 256, 'primary_guild': None, 'id': '874047746854752286', 'global_name': 'LucasTheBaguetteThief', 'display_name': 'LucasTheBaguetteThief', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'c6fdec9fac40338961ed194706319a70'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-10-28T15:44:16.888000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'disctweet', 'public_flags': 0, 'primary_guild': None, 'id': '1386002700138975292', 'global_name': None, 'display_name': None, 'discriminator': '0456', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1386098286175326250'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-21T21:39:43.946737+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1167851339066380358', 'chunk_index': 0, 'chunk_count': 1}}
[2025-06-21 23:40:04] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-21 23:40:04] [DEBUG   ] discord.state: Processed a chunk for 2 members in guild ID 1167851339066380358.
[2025-06-21 23:40:06] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-06-21 23:40:06] [DEBUG   ] discord.client: Dispatching event ready
[2025-06-21 23:40:10] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 4, 'op': 0, 'd': {'user_id': '874047746854752286', 'timestamp': 1750545609, 'member': {'user': {'username': 'lucasthebaguettetheif', 'public_flags': 256, 'primary_guild': None, 'id': '874047746854752286', 'global_name': 'LucasTheBaguetteThief', 'display_name': 'LucasTheBaguetteThief', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'c6fdec9fac40338961ed194706319a70'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-10-28T15:44:16.888000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1167851339066380361', 'guild_id': '1167851339066380358'}}
[2025-06-21 23:40:10] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-21 23:40:10] [DEBUG   ] discord.client: Dispatching event typing
